"","1"
"(Intercept)",-15.6536
"Cell",0
"AngleCh1",0
"AngleStatusCh1",0
"AreaCh1",0
"AreaStatusCh1",0
"AvgIntenCh1",0.0013
"AvgIntenCh2",0.0024
"AvgIntenCh3",0
"AvgIntenCh4",0
"AvgIntenStatusCh1",0.2484
"AvgIntenStatusCh2",-0.1986
"AvgIntenStatusCh3",0
"AvgIntenStatusCh4",0
"ConvexHullAreaRatioCh1",0
"ConvexHullAreaRatioStatusCh1",0
"ConvexHullPerimRatioCh1",0.312
"ConvexHullPerimRatioStatusCh1",0
"DiffIntenDensityCh1",0
"DiffIntenDensityCh3",0
"DiffIntenDensityCh4",0
"DiffIntenDensityStatusCh1",0
"DiffIntenDensityStatusCh3",0
"DiffIntenDensityStatusCh4",0
"EntropyIntenCh1",0.0969
"EntropyIntenCh3",0
"EntropyIntenCh4",0
"EntropyIntenStatusCh1",0
"EntropyIntenStatusCh3",0
"EntropyIntenStatusCh4",0
"EqCircDiamCh1",0
"EqCircDiamStatusCh1",0
"EqEllipseLWRCh1",0
"EqEllipseLWRStatusCh1",0
"EqEllipseOblateVolCh1",0
"EqEllipseOblateVolStatusCh1",0
"EqEllipseProlateVolCh1",0
"EqEllipseProlateVolStatusCh1",0
"EqSphereAreaCh1",0
"EqSphereAreaStatusCh1",0
"EqSphereVolCh1",0
"EqSphereVolStatusCh1",0
"FiberAlign2Ch3",0
"FiberAlign2Ch4",0
"FiberAlign2StatusCh3",0
"FiberAlign2StatusCh4",0
"FiberLengthCh1",0
"FiberLengthStatusCh1",0
"FiberWidthCh1",0.2096
"FiberWidthStatusCh1",0
"IntenCoocASMCh3",0.29
"IntenCoocASMCh4",0
"IntenCoocASMStatusCh3",0
"IntenCoocASMStatusCh4",0
"IntenCoocContrastCh3",-0.0273
"IntenCoocContrastCh4",0
"IntenCoocContrastStatusCh3",0
"IntenCoocContrastStatusCh4",0
"IntenCoocEntropyCh3",0
"IntenCoocEntropyCh4",0
"IntenCoocEntropyStatusCh3",0
"IntenCoocEntropyStatusCh4",0
"IntenCoocMaxCh3",0
"IntenCoocMaxCh4",0
"IntenCoocMaxStatusCh3",0
"IntenCoocMaxStatusCh4",0
"KurtIntenCh1",0
"KurtIntenCh3",0
"KurtIntenCh4",0
"KurtIntenStatusCh1",0
"KurtIntenStatusCh3",0
"KurtIntenStatusCh4",0
"LengthCh1",0
"LengthStatusCh1",0
"MemberAvgAvgIntenStatusCh2",0
"MemberAvgTotalIntenStatusCh2",0
"NeighborAvgDistCh1",0
"NeighborAvgDistStatusCh1",0
"NeighborMinDistCh1",0
"NeighborMinDistStatusCh1",-0.0578
"NeighborVarDistCh1",0
"NeighborVarDistStatusCh1",0
"PerimCh1",0
"PerimStatusCh1",0
"ShapeBFRCh1",0
"ShapeBFRStatusCh1",0
"ShapeLWRCh1",0
"ShapeLWRStatusCh1",0
"ShapeP2ACh1",0
"ShapeP2AStatusCh1",0
"SkewIntenCh1",-0.0451
"SkewIntenCh3",0
"SkewIntenCh4",0
"SkewIntenStatusCh1",0.219
"SkewIntenStatusCh3",0.1128
"SkewIntenStatusCh4",0
"SpotFiberCountCh3",0
"SpotFiberCountCh4",0
"SpotFiberCountStatusCh3",0
"SpotFiberCountStatusCh4",0
"TotalIntenCh1",0
"TotalIntenCh2",0
"TotalIntenCh3",0
"TotalIntenCh4",0
"TotalIntenStatusCh1",0
"TotalIntenStatusCh2",-0.2619
"TotalIntenStatusCh3",-0.3646
"TotalIntenStatusCh4",0
"VarIntenCh1",0
"VarIntenCh3",0
"VarIntenCh4",-8e-04
"VarIntenStatusCh1",0
"VarIntenStatusCh3",0
"VarIntenStatusCh4",-0.0598
"WidthCh1",0
"WidthStatusCh1",0
"XCentroid",0
"YCentroid",0
