"","1"
"(Intercept)",-81.5981
"Cell",0
"AngleCh1",1e-04
"AngleStatusCh1",-0.0049
"AreaCh1",2e-04
"AreaStatusCh1",0.1357
"AvgIntenCh1",7e-04
"AvgIntenCh2",0.0012
"AvgIntenCh3",0
"AvgIntenCh4",-1e-04
"AvgIntenStatusCh1",0.2753
"AvgIntenStatusCh2",-0.1873
"AvgIntenStatusCh3",0.1991
"AvgIntenStatusCh4",-0.0367
"ConvexHullAreaRatioCh1",-0.4294
"ConvexHullAreaRatioStatusCh1",-0.0094
"ConvexHullPerimRatioCh1",1.7679
"ConvexHullPerimRatioStatusCh1",-0.0409
"DiffIntenDensityCh1",0.0015
"DiffIntenDensityCh3",-0.001
"DiffIntenDensityCh4",-2e-04
"DiffIntenDensityStatusCh1",0.1044
"DiffIntenDensityStatusCh3",0.0324
"DiffIntenDensityStatusCh4",-0.0315
"EntropyIntenCh1",0.1577
"EntropyIntenCh3",-0.0171
"EntropyIntenCh4",0.0571
"EntropyIntenStatusCh1",-0.0697
"EntropyIntenStatusCh3",-0.0338
"EntropyIntenStatusCh4",0.0619
"EqCircDiamCh1",0.0186
"EqCircDiamStatusCh1",0.046
"EqEllipseLWRCh1",-0.0591
"EqEllipseLWRStatusCh1",0.0944
"EqEllipseOblateVolCh1",0
"EqEllipseOblateVolStatusCh1",-0.0715
"EqEllipseProlateVolCh1",-1e-04
"EqEllipseProlateVolStatusCh1",-0.2096
"EqSphereAreaCh1",0
"EqSphereAreaStatusCh1",0.1367
"EqSphereVolCh1",0
"EqSphereVolStatusCh1",-0.0721
"FiberAlign2Ch3",-0.1264
"FiberAlign2Ch4",-0.2409
"FiberAlign2StatusCh3",-0.0577
"FiberAlign2StatusCh4",-0.054
"FiberLengthCh1",-0.0021
"FiberLengthStatusCh1",0.1305
"FiberWidthCh1",0.0737
"FiberWidthStatusCh1",0.0763
"IntenCoocASMCh3",0.5251
"IntenCoocASMCh4",-0.1009
"IntenCoocASMStatusCh3",-0.0707
"IntenCoocASMStatusCh4",-0.0912
"IntenCoocContrastCh3",-0.0179
"IntenCoocContrastCh4",-0.0033
"IntenCoocContrastStatusCh3",-0.0015
"IntenCoocContrastStatusCh4",0.0458
"IntenCoocEntropyCh3",-0.0429
"IntenCoocEntropyCh4",0.0421
"IntenCoocEntropyStatusCh3",0.0139
"IntenCoocEntropyStatusCh4",-0.0097
"IntenCoocMaxCh3",0.407
"IntenCoocMaxCh4",-0.169
"IntenCoocMaxStatusCh3",-0.0126
"IntenCoocMaxStatusCh4",-0.0531
"KurtIntenCh1",-7e-04
"KurtIntenCh3",-0.001
"KurtIntenCh4",-0.0019
"KurtIntenStatusCh1",0.0169
"KurtIntenStatusCh3",0.0698
"KurtIntenStatusCh4",0.1636
"LengthCh1",0.0031
"LengthStatusCh1",0.1293
"MemberAvgAvgIntenStatusCh2",0
"MemberAvgTotalIntenStatusCh2",0
"NeighborAvgDistCh1",8e-04
"NeighborAvgDistStatusCh1",0.0992
"NeighborMinDistCh1",0.0038
"NeighborMinDistStatusCh1",-0.1591
"NeighborVarDistCh1",9e-04
"NeighborVarDistStatusCh1",-0.099
"PerimCh1",1e-04
"PerimStatusCh1",-0.0223
"ShapeBFRCh1",1.01
"ShapeBFRStatusCh1",-8e-04
"ShapeLWRCh1",-0.066
"ShapeLWRStatusCh1",0.0178
"ShapeP2ACh1",-0.1012
"ShapeP2AStatusCh1",0.1495
"SkewIntenCh1",-0.1459
"SkewIntenCh3",-0.0245
"SkewIntenCh4",-0.0749
"SkewIntenStatusCh1",0.2175
"SkewIntenStatusCh3",0.1461
"SkewIntenStatusCh4",-0.0289
"SpotFiberCountCh3",0.0106
"SpotFiberCountCh4",-0.0096
"SpotFiberCountStatusCh3",0.0152
"SpotFiberCountStatusCh4",0.0372
"TotalIntenCh1",0
"TotalIntenCh2",0
"TotalIntenCh3",0
"TotalIntenCh4",0
"TotalIntenStatusCh1",0.0673
"TotalIntenStatusCh2",-0.209
"TotalIntenStatusCh3",-0.4952
"TotalIntenStatusCh4",0.0163
"VarIntenCh1",0.0011
"VarIntenCh3",0
"VarIntenCh4",-7e-04
"VarIntenStatusCh1",0.0206
"VarIntenStatusCh3",-0.0437
"VarIntenStatusCh4",-0.1052
"WidthCh1",0.0089
"WidthStatusCh1",-0.0943
"XCentroid",2e-04
"YCentroid",-1e-04
