"","x"
"1","AvgIntenCh2"
"2","AvgIntenStatusCh1"
"3","AvgIntenStatusCh2"
"4","ConvexHullAreaRatioCh1"
"5","ConvexHullAreaRatioStatusCh1"
"6","ConvexHullPerimRatioCh1"
"7","DiffIntenDensityStatusCh1"
"8","DiffIntenDensityStatusCh3"
"9","DiffIntenDensityStatusCh4"
"10","EntropyIntenCh1"
"11","EntropyIntenCh4"
"12","EntropyIntenStatusCh3"
"13","FiberAlign2Ch3"
"14","FiberAlign2Ch4"
"15","FiberAlign2StatusCh4"
"16","FiberWidthCh1"
"17","IntenCoocASMCh3"
"18","IntenCoocASMCh4"
"19","IntenCoocASMStatusCh3"
"20","IntenCoocASMStatusCh4"
"21","IntenCoocContrastCh3"
"22","IntenCoocContrastStatusCh3"
"23","IntenCoocContrastStatusCh4"
"24","IntenCoocEntropyStatusCh3"
"25","IntenCoocMaxStatusCh3"
"26","KurtIntenCh1"
"27","KurtIntenCh3"
"28","KurtIntenCh4"
"29","KurtIntenStatusCh3"
"30","KurtIntenStatusCh4"
"31","LengthCh1"
"32","LengthStatusCh1"
"33","NeighborAvgDistStatusCh1"
"34","NeighborMinDistStatusCh1"
"35","PerimStatusCh1"
"36","ShapeBFRCh1"
"37","ShapeBFRStatusCh1"
"38","ShapeLWRCh1"
"39","ShapeP2AStatusCh1"
"40","SkewIntenCh1"
"41","SkewIntenCh4"
"42","SkewIntenStatusCh1"
"43","SkewIntenStatusCh3"
"44","SpotFiberCountCh4"
"45","TotalIntenCh1"
"46","TotalIntenCh2"
"47","TotalIntenCh4"
"48","TotalIntenStatusCh1"
"49","TotalIntenStatusCh2"
"50","TotalIntenStatusCh4"
"51","VarIntenCh1"
"52","VarIntenCh3"
"53","VarIntenCh4"
"54","VarIntenStatusCh1"
"55","VarIntenStatusCh4"
"56","WidthStatusCh1"
"57","YCentroid"
