"","x"
"1","TotalIntenCh2"
"2","FiberWidthCh1"
"3","TotalIntenCh1"
"4","ShapeP2ACh1"
"5","AvgIntenCh2"
"6","AvgIntenCh1"
"7","ConvexHullAreaRatioCh1"
"8","EntropyIntenCh1"
"9","SkewIntenCh1"
"10","IntenCoocContrastCh3"
"11","ConvexHullPerimRatioCh1"
"12","VarIntenCh1"
"13","FiberLengthCh1"
"14","Cell"
"15","IntenCoocASMCh3"
"16","IntenCoocMaxCh3"
"17","ShapeBFRCh1"
"18","DiffIntenDensityCh1"
"19","EqEllipseProlateVolCh1"
"20","IntenCoocEntropyCh3"
"21","EntropyIntenCh4"
"22","AvgIntenStatusCh1"
"23","DiffIntenDensityCh3"
"24","TotalIntenCh4"
"25","WidthCh1"
"26","EqSphereAreaCh1"
"27","AreaCh1"
"28","EqSphereVolCh1"
"29","SkewIntenCh4"
"30","DiffIntenDensityCh4"
